to start,starten
to cost,kosten
to bath,baden
to report,berichten
to inform,melden
to register,anmelden
to prohibit,verbieten
to arrange,verabreden
to connect,verbinden
to use,verwenden
to respect,achten
to pay attention,beachten
to offer,bieten
to request,bitten
to find,finden
to invent,erfinden
to take place,stattfinden
to teach,unterrichten
to cut,schneiden
to decide,entscheiden
to rent,mieten
to rent out,vermieten
to wait,warten
to answer,antworten
to work,arbeiten
to talk,reden
to ride,reiten
to prepare,vorbereiten
to prepare,zubereiten
to send,senden
to stay overnight,Ã¼bernachten
to end,enden
